scenario,protocol,n_agents,run,denm_pdr,denm_ddl,bsm_pdr,emerg_p99,latency_p99,mean_cbr
urban,QDAP,100,0,0.71429,0.71429,0.59739,2.688,11.371,0.4907
urban,QDAP,100,1,0.90681,0.90681,0.64587,2.906,11.170,0.5013
urban,QDAP,100,2,0.70375,0.70375,0.66022,2.733,11.271,0.4800
urban,QDAP,100,3,0.62128,0.62128,0.62445,2.695,11.400,0.5067
urban,QDAP,100,4,0.73830,0.73830,0.65237,2.907,11.410,0.5067
urban,QDAP,100,5,0.80575,0.80575,0.60849,2.868,11.216,0.4693
urban,QDAP,100,6,0.51341,0.51341,0.59383,2.833,11.378,0.4960
urban,QDAP,100,7,0.77500,0.77500,0.66664,2.780,11.321,0.4747
urban,QDAP,100,8,0.75495,0.75495,0.65565,2.882,11.180,0.4907
urban,QDAP,100,9,0.76264,0.76264,0.67684,2.881,11.500,0.4907
urban,QDAP,100,10,0.67563,0.67563,0.64104,2.900,11.169,0.5013
urban,QDAP,100,11,0.65930,0.65930,0.60456,2.704,11.192,0.5120
